,yearID,teamID,franchID,Rank,DivWin,WCWin,WSWin,name,park,BPF,PPF
186,1886,SL4,STL,1,,,Y,St. Louis Browns,Sportsman's Park I,105,100
187,1886,SL5,SLM,6,,,N,St. Louis Maroons,Sportsman's Park I,94,97
188,1886,WS8,WNL,8,,,N,Washington Nationals,Swampdoodle Grounds,94,99
189,1887,BL2,BLO,3,,,N,Baltimore Orioles,Oriole Park,94,95
190,1887,BR3,LAD,6,,,N,Brooklyn Grays,Washington Park I,101,100
191,1887,BSN,ATL,5,,,N,Boston Beaneaters,South End Grounds I,98,97
192,1887,CHN,CHC,3,,,N,Chicago White Stockings,West Side Park I,113,110
193,1887,CL3,CLV,8,,,N,Cleveland Blues,National League Park II,97,101
194,1887,CN2,CIN,2,,,N,Cincinnati Red Stockings,League Park I in Cincinnati,102,101
195,1887,DTN,DTN,1,,,Y,Detroit Wolverines,Recreation Park,104,100
196,1887,IN3,IND,8,,,N,Indianapolis Hoosiers,Athletic Park I,96,102
197,1887,LS2,LOU,4,,,N,Louisville Colonels,Eclipse Park I,102,102
198,1887,NY1,SFG,4,,,N,New York Giants,Polo Grounds I,96,93
199,1887,NY4,NYP,7,,,N,New York Metropolitans,St. George Cricket Grounds,96,100
200,1887,PH4,PHA,5,,,N,Philadelphia Athletics,Jefferson Street Grounds,100,100
201,1887,PHI,PHI,2,,,N,Philadelphia Quakers,Philadelphia Baseball Grounds,106,104
202,1887,PIT,PIT,6,,,N,Pittsburg Alleghenys,Recreation Park,93,93
203,1887,SL4,STL,1,,,N,St. Louis Browns,Sportsman's Park I,111,106
204,1887,WS8,WNL,7,,,N,Washington Nationals,Swampdoodle Grounds,95,100
205,1888,BL2,BLO,5,,,N,Baltimore Orioles,Oriole Park,98,98
206,1888,BR3,LAD,2,,,N,Brooklyn Bridegrooms,Washington Park I,101,100
207,1888,BSN,ATL,4,,,N,Boston Beaneaters,South End Grounds II,104,102
208,1888,CHN,CHC,2,,,N,Chicago White Stockings,West Side Park I,107,106
209,1888,CL3,CLV,6,,,N,Cleveland Blues,National League Park II,97,101
210,1888,CN2,CIN,4,,,N,Cincinnati Red Stockings,League Park I in Cincinnati,105,104
211,1888,DTN,DTN,5,,,N,Detroit Wolverines,Recreation Park,100,97
212,1888,IN3,IND,7,,,N,Indianapolis Hoosiers,Athletic Park II,102,104
213,1888,KC2,KCC,8,,,N,Kansas City Cowboys,Association Park I,106,112
214,1888,LS2,LOU,7,,,N,Louisville Colonels,Eclipse Park I,98,100
215,1888,NY1,SFG,1,,,Y,New York Giants,Polo Grounds I,99,96
216,1888,PH4,PHA,3,,,N,Philadelphia Athletics,Jefferson Street Grounds,100,98
